Month/Year,$(Millions)
Sep-2012,"27,554"
Oct-2012,"25,706"
Nov-2012,"24,680"
Dec-2012,"29,152"
Jan-2013,"22,265"
Feb-2013,"22,510"
Mar-2013,"28,351"
Apr-2013,"24,093"
May-2013,"24,445"
Jun-2013,"28,937"
Jul-2013,"23,870"
Aug-2013,"24,906"
Sep-2013,"29,277"
Oct-2013,"25,302"
Nov-2013,"25,046"
Dec-2013,"29,529"
Jan-2014,"22,965"
Feb-2014,"22,223"
Mar-2014,"28,098"
Apr-2014,"23,932"
May-2014,"23,609"
Jun-2014,"28,892"
Jul-2014,"24,423"
Aug-2014,"24,636"
Sep-2014,"27,794"
Oct-2014,"24,343"
Nov-2014,"23,268"
Dec-2014,"27,866"
Jan-2015,"21,299"
Feb-2015,"21,234"
Mar-2015,"27,446"
Apr-2015,"23,692"
May-2015,"23,265"
Jun-2015,"28,522"
Jul-2015,"23,770"
Aug-2015,"25,043"
Sep-2015,"27,954"
Oct-2015,"24,612"
Nov-2015,"24,619"
Dec-2015,"27,689"
Jan-2016,"21,396"
Feb-2016,"21,644"
Mar-2016,"26,357"
Apr-2016,"22,134"
May-2016,"22,666"
Jun-2016,"26,933"
Jul-2016,"22,893"
Aug-2016,"24,770"
Sep-2016,"27,081"
Oct-2016,"24,680"
Nov-2016,"24,887"
Dec-2016,"28,146"
Jan-2017,"23,220"
Feb-2017,"21,920"
Mar-2017,"27,220"
Apr-2017,"23,008"
May-2017,"23,920"
Jun-2017,"28,252"
Jul-2017,"24,310"
Aug-2017,"26,364"
Sep-2017,"28,813"
Oct-2017,"26,569"
Nov-2017,"27,138"
Dec-2017,"29,428"
Jan-2018,"24,601"
Feb-2018,"23,639"
Mar-2018,"28,347"
Apr-2018,"25,026"
May-2018,"25,724"
Jun-2018,"29,704"
Jul-2018,"26,043"
Aug-2018,"27,897"
Sep-2018,"30,228"
Oct-2018,"28,394"
Nov-2018,"28,558"
Dec-2018,"31,647"
Jan-2019,"25,464"
Feb-2019,"25,278"
Mar-2019,"29,734"
Apr-2019,"26,437"
May-2019,"27,142"
Jun-2019,"30,579"
Jul-2019,"26,859"
Aug-2019,"28,555"
Sep-2019,"31,440"
Oct-2019,"28,518"
Nov-2019,"28,706"
Dec-2019,"31,984"
Jan-2020,"25,582"
Feb-2020,"26,035"
Mar-2020,"30,516"
Apr-2020,"26,135"
May-2020,"26,903"
Jun-2020,"31,285"
Jul-2020,"27,994"
Aug-2020,"30,316"
Sep-2020,"34,127"
Oct-2020,"30,984"
Nov-2020,NA
Dec-2020,NA
